,,,,,,,key_resp.keys,key_resp.corr,,tilt,hit,miss,fa,cr,,,,,,,,
,,,,,,,down,1,,3,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,1,,-5,1,,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,,1,,,,,,,,,
,,,,,,,up,0,,2,,,,1,,,,,,,,
,,,,,,,up,0,,-2,,,1,,,Respond YES,Respond NO,,prop hit =hit/hit +miss,,32,
,,,,,,,down,0,,0,,1,,,Signal Present,Hit,Miss,,prop fa=fa/fa+corr rejection,,12,
,,,,,,,down,1,,-5,1,,,,Signal Absent,False Alaram,Correct Rejection,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,1,,4,1,,,,,,,,d -prime =z(prop hit)-z(prop fa),,,0.707287993
,,,,,,,down,1,,-3,1,,,,,Respond YES,Respond NO,,,,,0
,,,,,,,down,0,,0,,1,,,Signal Present,41,31,,,,,
,,,,,,,up,1,,0,1,,,,Signal Absent,17,11,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,0,,-5,,,1,,,,,,,,,
,,,,,,,up,0,,2,,,,1,,,,,,,,
,,,,,,,up,0,,-5,,,1,,,,,,,,,
,,,,,,,down,1,,0,,1,,,,,,,,,,
,,,,,,,up,0,,2,,,1,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,up,0,,-5,,,1,,,,,,,,,
,,,,,,,down,1,,0,,1,,,,,,,,,,
,,,,,,,up,0,,2,,,,1,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,up,0,,4,,,,1,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,0,,3,,,1,,,,,,,,,
,,,,,,,down,1,,2,1,,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,0,,2,,,1,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,up,0,,1,,,,1,,,,,,,,
,,,,,,,down,1,,4,1,,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,1,,1,,1,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,1,,1,,,,1,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,1,,0,,1,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,0,,3,1,,,,,,,,,,,
,,,,,,,down,1,,1,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,1,,3,1,,,,,,,,,,,
,,,,,,,down,1,,-4,1,,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,1,,-1,1,,,,,,,,,,,
,,,,,,,up,0,,4,,,,1,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,up,0,,-5,,,1,,,,,,,,,
,,,,,,,up,0,,-1,,1,,,,,,,,,,
,,,,,,,down,1,,-5,1,,,,,,,,,,,
,,,,,,,up,0,,-2,,,1,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,0,,1,,,1,,,,,,,,,
,,,,,,,up,0,,-3,,,1,,,,,,,,,
,,,,,,,up,0,,-1,,,1,,,,,,,,,
,,,,,,,up,0,,-3,,,1,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,1,,-4,1,,,,,,,,,,,
,,,,,,,down,1,,-5,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,1,,-5,1,,,,,,,,,,,
,,,,,,,up,0,,-2,,,,1,,,,,,,,
,,,,,,,up,0,,-4,,,,1,,,,,,,,
,,,,,,,down,1,,-3,1,,,,,,,,,,,
,,,,,,,up,0,,4,,,,1,,,,,,,,
,,,,,,,up,0,,-4,,,1,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,1,,4,1,,,,,,,,,,,
,,,,,,,up,0,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,1,,0,,,1,,,,,,,,,
,,,,,,,down,1,,-2,1,,,,,,,,,,,
,,,,,,,up,0,,-4,,,,1,,,,,,,,
,,,,,,,down,1,,0,,1,,,,,,,,,,
,,,,,,,up,0,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,up,0,,-4,,,1,,,,,,,,,
,,,,,,,down,0,,0,,1,,,,,,,,,,
,,,,,,,down,1,,2,1,,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,
,,,,,,,down,1,,1,1,,,,,,,,,,,
,,,,,,,up,1,,0,1,,,,,,,,,,,